X,Y,Stationsnamn,MD-MVM Id,EU id,Stationskoordinat N/X,Stationskoordinat E/Y,MS_CD C3
19.81800274,63.8812076,Sidensjön,127,SE709218-169710,7092712,736488,WA64907980
17.02301225,59.17915186,Djupa Holmsjön,128,SE656263-156963,6561754,615611,WA64588793
16.42480366,60.73361821,Långsjön,129,SE673534-153381,6733960,577702,WA42150382
13.71142536,57.33724664,Hagasjön,130,SE635878-137392,6355662,422434,WA64825705
14.70284437,58.75775927,Fagertärn,131,SE651558-143620,6513117,482808,WA58439062
16.57530668,61.64275858,Stensjön,132,SE683673-154083,6835394,583469,WA70448628
16.94931226,61.08667172,Gosjön,133,SE677506-156174,6774007,605132,WA20127072
16.98720916,62.33010177,V. Rännöbodsjön,134,SE691365-156127,6912536,602945,WA17667097
20.43873091,64.2388836,Bjännsjön,135,SE713404-172465,7134909,763500,WA28784510
18.65249233,68.30582634,Abiskojaure,136,SE758208-161749,7581424,650600,WA29045099
16.06788438,65.96191403,Stor-Tjulträsket,137,SE731799-151196,7316078,548538,WA41975577
13.76198963,55.49631056,Krageholmssjön,138,SE615375-137087,6150719,421789,WA92239891
14.69169129,64.28355248,Dunnervattnet,139,SE713131-144608,7128648,485073,WA64322958
17.90810384,59.57066973,Fysingen,140,SE660749-161885,6607195,664270,WA17184339
16.80647933,59.101733,Lillsjön,141,SE655380-155738,6552780,603472,WA21110270
17.36908583,58.80859493,Rundbosjön,142,SE652177-159038,6521160,636846,WA44530315
15.0595434,57.46398453,Tångerdasjön,143,SE637120-145525,6369038,503572,WA66779230
18.93602139,57.91565168,Bästeträsk,144,SE642555-168553,6426108,733122,WA14564967
13.35687085,55.4879764,Havgårdssjön,145,SE615365-134524,6150322,396176,WA56806681
13.47275316,55.708743,Krankesjön,146,SE617797-135339,6174721,404038,WA94704410
13.93407294,58.64472043,Ymsen,147,SE650398-139136,6500984,438132,WA42884377
17.04155307,59.86521109,Ekholmssjön,148,SE663907-156927,6638162,614324,WA38386938
20.09400415,64.14537231,Ögerträsket,149,SE712246-170866,7123130,747661,WA89985235
15.58217274,57.77928036,Skärgölen,150,SE640609-148673,6404286,534623,WA91168817
18.84089813,57.8688197,Horsan,151,SE642008-168013,6420575,727788,WA25839981
14.22231736,58.75732859,Svartsjön,152,SE651609-140839,6513292,455007,WA35901648
15.4331555,59.62802468,Ämten,153,SE661206-147901,6610066,524431,WA43691040
19.28021825,63.6664772,Svartvattnet,154,SE706672-167201,7066942,711727,WA99627860
17.45064539,65.63685977,Storvindeln,155,SE728271-157578,7281632,612783,WA38760283
15.57054096,57.93826869,Glimmingen,156,SE642122-148744,6421980,533782,WA33559863
16.61125794,66.91449301,Båtkåjaure,157,SE742442-153530,7422760,570495,NA
13.03317677,62.98037488,Tronntjärnarna,158,SE698860-135948,6984927,400320,NA
13.20551578,63.15698998,Östra Helgtjärnen,159,SE700796-136901,7004344,409602,WA20212661
13.75763202,62.98151625,Gåtejaure,160,SE698735-139620,6984138,437034,WA48463242
13.77092889,62.96608514,Vuolejaure,161,SE698561-139682,6982406,437675,WA84032761
19.69978073,64.68678911,Vitträsket,162,SE718150-168580,7181862,724058,WA48721021
19.10292954,65.77342552,Norra Reivo,163,SE730091-165102,7300790,687762,WA24034604
14.29010899,58.30263894,Hjoån Utl. Vättern,524,SE646546-141100,6462624,458394,WA79326117
15.04346738,58.53344894,Motalaström Motala,525,SE649035-145565,6488104,502531,WA57602430
14.86028295,58.43140567,Mjölnaån Utl. Vättern,526,SE647917-144480,6476750,491841,WA35822974
14.63162769,58.22397892,Orrnäsån Ödeshög,527,SE645625-143105,6453706,478362,WA80264969
14.43131454,57.99499122,Röttleån Röttle,528,SE643092-141875,6428294,466381,WA40015043
14.26522422,57.79453077,Huskvarnaån Vättern,536,SE640881-140842,6406072,456320,WA11382900
14.16793691,57.78155146,Munksjöns utlopp,543,SE640750-140230,6404694,450519,WA72189945
14.22632606,57.90712114,Edeskvarnaån NV,547,SE642140-140640,6418632,454151,WA11665077
14.67542417,58.50038988,Jungfrun NV,579,SE648694-143413,6484468,481083,WA11665077
14.12171175,58.00140483,Gagnån,1833,SE643205-140046,6429204,448088,WA61963298
18.50792302,64.15450102,Rödingträsket,1903,SE711924-163150,7118932,670566,WA29110008
14.72082636,58.83458683,Långsjön,1904,SE652412-143738,6521667,483884,WA54481820
15.72167634,58.56099633,Geten,1907,SE649314-149514,6491396,541988,NA
14.31845746,60.81977642,Rädsjön,1908,SE674570-141911,6742906,462930,NA
14.4094159,60.07553316,Skifsen,1909,SE666268-142230,6659970,467134,NA
15.52911597,56.48869841,Trehörningen,1927,SE626238-148299,6260598,532582,WA10469843
12.75795701,59.72567869,Örvattnet,1946,SE662682-132860,6622992,373926,WA10620324
14.53998621,56.2061939,Lillesjö,1947,SE623161-142148,6229124,471463,WA93220370
12.03038948,58.02019997,Härsvatten,1948,SE643914-127698,6434816,324602,WA48062167
12.75161621,61.58062555,Ö. Särnamannasjön,1949,SE683337-133785,6829523,380637,WA41997143
18.27812516,59.19268266,Årsjön,1950,SE656612-164132,6566110,687234,NA
13.17402279,56.75318257,Gyltigesjön,1951,SE629489-133906,6291400,388350,WA69838335
13.80204162,57.55777465,Stengårdshultasjön,1952,SE638317-138010,6380110,428321,WA51402516
12.32172018,57.7095249,Stora Härsjön,1953,SE640364-129240,6399525,340434,WA75449417
14.27350522,61.32776045,Bösjön,1954,SE680235-141799,6799512,461113,WA63146294
15.55293675,59.93475419,V. Skälsjön,1955,SE664620-148590,6644274,530902,WA76489320
15.52877924,59.80868049,Lien,1956,SE663216-148449,6630223,529664,WA68069464
15.08803598,60.44061176,Tryssjön,1957,SE670275-146052,6700486,504845,WA89222377
14.48348553,57.10804046,Gyslättasjön,1958,SE633209-141991,6329531,468714,WA14574773
16.73574862,61.633598,Källsjön,1959,SE683582-154935,6834590,591996,NA
18.32440431,59.17446586,Stensjön,1960,SE656419-164404,6564214,689977,WA40009280
11.47092485,58.88538189,Ejgdesjön,1961,SE653737-125017,6532654,296633,WA61711068
12.74277214,61.58797879,N. Särnamannasjön,1962,SE683421-133742,6830358,380196,WA25434149
14.09912668,57.93932102,Knipån Kvarnekulla,26529,SE642517-139895,6422310,446661,WA85766605
14.09700438,57.91622056,Hökesån,28180,SE642260-139876,6419740,446501,WA33304329
14.43392486,58.57919996,Forsviksån Forsvik,28181,SE649556-142025,6493336,467082,NA
14.64384027,58.2879368,Ålebäcken,28182,SE646330-143190,6460823,479117,NA
18.29687128,59.19034775,Långsjön,34593,SE656590-164240,6565903,688317,WA38535539
