X,Y,Stationsnamn,Stationskoordinat N/X,Stationskoordinat E/Y,MD-MVM Id,EU id,MS_CD C3
12.8736564376623,56.6914832933787,Nissan Halmstad,6285064,369774,34,SE628877-132040,NA
15.1775309035251,57.1230464665879,Norrhultsbäcken,6331097,510749,196,SE633316-146198,WA36456490
18.0667247978812,59.3281758673844,Norrström Stockholm,6580613,674471,18969,SE658078-162873,NA
16.9205502595144,58.8305670471522,Nyköpingsån Spånga,6522776,610872,23,SE652370-156442,NA
13.500087695815,61.1708508433622,Oradbäcken Ö.Kärtmyrås,6782743,419317,223,SE678609-137505,NA
21.0691273539224,64.9006500333576,Ostvik,7211161,786918,190,SE721000-174904,WA96430884
12.7897140373708,57.0662265417416,Pipbäcken Nedre,6326928,365982,178,SE633070-131710,NA
21.2988922537381,65.3790048931498,Pite älv Bölebyn,7265328,792434,18977,SE726410-175525,NA
20.9412222931846,64.0867993152434,Rickleån Utl,7120198,789375,29,SE711900-175034,NA
11.7477824812449,58.9939674222187,Ringsmobäcken,6543927,313167,179,SE654845-126685,WA87368980
21.9681884814074,66.0213708736317,Råne älv Niemisel,7339849,815475,18972,SE733833-177925,NA
12.7790881441282,55.9998434312249,Råån Helsingborg,6208288,361499,41,SE621205-131122,NA
13.1452721991814,56.1216799304769,Rönneån Klippan,6221172,384696,18975,SE622467-133458,NA
15.5792007932817,57.6365953081496,Silverån,6388400,534582,219,SE639020-148650,WA45704566
16.053316956427,65.2711791013933,Skansnäsån,7239088,549165,212,SE724097-151160,WA12679259
18.1462250832031,65.6748619003475,Skellefte älv Slagnäs,7287288,644564,165,SE728796-160764,WA32567448
20.7679167120301,64.739734573298,"Skellefte älv, Kvistforsen",7191952,774344,18980,SE719095-173622,NA
13.5929005308368,55.4494339963521,Skivarpsån Skivarp,6145706,411002,39,SE614886-136002,NA
12.9749787575593,56.5096363350561,Smedjeån V. Mellby,6264640,375381,42,SE626827-132577,NA
18.0610371373681,59.3271144916777,Stockholm Centralbron,6580480,674153,48,SE658065-162841,NA
16.2679818565578,62.2594269369901,Stormyrbäcken,6903726,565845,194,SE690530-152405,WA15165797
19.7778945250905,64.2512823130311,"Svartberget, C7",7133714,731429,193,SE713297-169256,WA27120760
14.1321624189108,58.0240046158307,Svedån Sved,6431712,448738,172,SE643455-140114,WA44293011
