Stationsnamn,StationsID,VattenförekomstID,Typ,Vattenmiljö,Region,long,lat
Klarälven Edsforsen,SE666294-137309,WA89864864,Vattendrag,Sjöar och Vattendrag,Södra Sverige,13.52596366,60.06558493
Klingavälsån Vomb,SE617263-135608,WA14011444,Vattendrag,Sjöar och Vattendrag,Södra Sverige,13.51832206,55.66162789
Kolarebäcken,SE641953-137406,WA39944872,Vattendrag,Sjöar och Vattendrag,Södra Sverige,13.68217245,57.88238438
Kukkasjärvi,SE735526-183905,WA97950526,Vattendrag,Sjöar och Vattendrag,Norra Sverige,23.32003312,66.11375396
Kvarnån,SE703626-153615,WA38909960,Vattendrag,Sjöar och Vattendrag,Norra Sverige,16.52915741,63.43331375
Lagan Laholm,SE626875-133051,,Vattendrag,Sjöar och Vattendrag,Södra Sverige,13.05157412,56.51567817
Laxbäcken,SE663532-523976,WA13162462,Vattendrag,Sjöar och Vattendrag,Södra Sverige,15.46792229,59.72999925
Laxtjärnsbäcken,SE730224-165025,WA60567507,Vattendrag,Sjöar och Vattendrag,Norra Sverige,19.08765977,65.785698
Lekarån,SE699780-139553,WA55565146,Vattendrag,Sjöar och Vattendrag,Norra Sverige,13.73778998,63.07501955
Lill-Fämtan,SE675032-135400,WA43483826,Vattendrag,Sjöar och Vattendrag,Norra Sverige,13.11954701,60.84263231
Lillån,SE706176-733260,WA62616626,Vattendrag,Sjöar och Vattendrag,Norra Sverige,19.7437664,63.53728237
Lillån,SE636806-147459,WA99240897,Vattendrag,Sjöar och Vattendrag,Södra Sverige,15.49322818,57.41229702
Lillån,SE629147-133368,WA19412340,Vattendrag,Sjöar och Vattendrag,Södra Sverige,13.06590268,56.69954869
Lillån/Bosgårdsån,SE631375-379389,WA50192169,Vattendrag,Sjöar och Vattendrag,Södra Sverige,13.07167261,56.92580825
Lilltjärnsbäcken,SE707822-133430,WA99507792,Vattendrag,Sjöar och Vattendrag,Norra Sverige,12.44476816,63.77241927
Lindåsabäcken,SE639719-133565,WA35495796,Vattendrag,Sjöar och Vattendrag,Södra Sverige,13.05075814,57.66956332
Ljungaån,SE637960-132204,WA88378649,Vattendrag,Sjöar och Vattendrag,Södra Sverige,12.6939066,57.47062584
Ljungan Skallböleforsen,SE691743-155984,,Vattendrag,Flodmynningar,Norra Sverige,16.96091797,62.36424547
Ljungbyån Ljungbyholm,SE627831-152255,,Vattendrag,Flodmynningar,Södra Sverige,16.17267365,56.6315333
Ljusnan Funäsdalen,SE694231-133350,WA99367298,Vattendrag,Sjöar och Vattendrag,Norra Sverige,12.56747035,62.55475982
"Ljusnan, Ljusne Strömmar",SE678924-156862,,Vattendrag,Flodmynningar,Norra Sverige,17.08189593,61.21275208
Loån,SE660713-165636,WA79044816,Vattendrag,Sjöar och Vattendrag,Södra Sverige,18.57075767,59.55511339
Lögde älv Lögdeå,SE705438-167938,,Vattendrag,Flodmynningar,Norra Sverige,19.41470939,63.55232488
Lommabäcken Nedre,SE650920-143244,,Vattendrag,Sjöar och Vattendrag,Södra Sverige,14.6398004,58.69993092
Lule älv Luleå,SE729186-178575,,Vattendrag,Flodmynningar,Norra Sverige,22.00965029,65.60131055
Lyckebyån Lyckeby,SE623006-149119,,Vattendrag,Flodmynningar,Södra Sverige,15.66332018,56.19867582
Mansån,SE664335-136275,WA77117417,Vattendrag,Sjöar och Vattendrag,Södra Sverige,13.35347883,59.88658523
Mattjockbäcken,SE723232-161455,WA23593659,Vattendrag,Sjöar och Vattendrag,Norra Sverige,18.24944341,65.17393004
Mesjön,SE718001-147980,WA78387734,Vattendrag,Sjöar och Vattendrag,Norra Sverige,15.38111004,64.72401696
Mörrumsån Mörrum,SE622950-143450,,Vattendrag,Flodmynningar,Södra Sverige,14.75026862,56.18921416
Motala Ström Norrköping,SE649673-151838,,Vattendrag,Flodmynningar,Södra Sverige,16.12124495,58.59287351
Muddusälven,SE741419-169012,WA60139716,Vattendrag,Sjöar och Vattendrag,Norra Sverige,20.12467487,66.7657565
Musån,SE637187-135350,WA34316369,Vattendrag,Sjöar och Vattendrag,Södra Sverige,13.33164094,57.47631607
Nissan Halmstad,SE628877-132040,,Vattendrag,Flodmynningar,Södra Sverige,12.87365644,56.69148329
Norrhultsbäcken,SE633316-146198,WA36456490,Vattendrag,Sjöar och Vattendrag,Södra Sverige,15.1775309,57.12304647
Norrström Stockholm,SE658078-162873,,Vattendrag,Flodmynningar,Södra Sverige,18.0667248,59.32817587
Nyköpingsån Spånga,SE652370-156442,,Vattendrag,Flodmynningar,Södra Sverige,16.92055026,58.83056705
Oradbäcken Ö.Kärtmyrås,SE678609-137505,,Vattendrag,Sjöar och Vattendrag,Norra Sverige,13.5000877,61.17085084
Öre älv Torrböle,SE707160-168739,,Vattendrag,Flodmynningar,Norra Sverige,19.59600707,63.70232616
Örekilsälven Munkedal,SE648930-125964,,Vattendrag,Flodmynningar,Södra Sverige,11.68587438,58.46036302
Ostvik,SE721000-174904,WA96430884,Vattendrag,Sjöar och Vattendrag,Norra Sverige,21.06912735,64.90065003
Övre Lansjärv,SE740810-178405,,Vattendrag,Sjöar och Vattendrag,Norra Sverige,22.23094398,66.63894532
Pipbäcken Nedre,SE633070-131710,,Vattendrag,Sjöar och Vattendrag,Södra Sverige,12.78971404,57.06622654
Pite älv Bölebyn,SE726410-175525,,Vattendrag,Flodmynningar,Norra Sverige,21.29889225,65.37900489
Råån Helsingborg,SE621205-131122,,Vattendrag,Flodmynningar,Södra Sverige,12.77908814,55.99984343
Råne älv Niemisel,SE733833-177925,,Vattendrag,Flodmynningar,Norra Sverige,21.96818848,66.02137087
Rickleån Utl,SE711900-175034,,Vattendrag,Flodmynningar,Norra Sverige,20.94122229,64.08679932
Ringsmobäcken,SE654845-126685,WA87368980,Vattendrag,Sjöar och Vattendrag,Södra Sverige,11.74778248,58.99396742
Rönneån Klippan,SE622467-133458,,Vattendrag,Sjöar och Vattendrag,Södra Sverige,13.1452722,56.12167993
Sävjaån Ingvasta,SE665649-161397,WA73538296,Vattendrag,Sjöar och Vattendrag,Södra Sverige,17.84852688,60.01157277
Silverån,SE639020-148650,WA45704566,Vattendrag,Sjöar och Vattendrag,Södra Sverige,15.57920079,57.63659531
Skansnäsån,SE724097-151160,WA12679259,Vattendrag,Sjöar och Vattendrag,Norra Sverige,16.05331696,65.2711791
Skärån,SE621643-134041,WA32370039,Vattendrag,Sjöar och Vattendrag,Södra Sverige,13.17441435,56.09535339
Skellefte älv Slagnäs,SE728796-160764,WA32567448,Vattendrag,Sjöar och Vattendrag,Norra Sverige,18.14622508,65.6748619
"Skellefte älv, Kvistforsen",SE719095-173622,,Vattendrag,Flodmynningar,Norra Sverige,20.76791671,64.73973457
Skivarpsån Skivarp,SE614886-136002,,Vattendrag,Sjöar och Vattendrag,Södra Sverige,13.59290053,55.449434
Skuggälven,SE654022-124861,WA54920650,Vattendrag,Sjöar och Vattendrag,Södra Sverige,11.17002913,58.93929107
Smedjeån V. Mellby,SE626827-132577,,Vattendrag,Sjöar och Vattendrag,Södra Sverige,12.97497876,56.50963634
Sörjabäcken,SE673813-153174,WA86962872,Vattendrag,Sjöar och Vattendrag,Norra Sverige,16.42893665,60.75827627
Stockholm Centralbron,SE658065-162841,,Vattendrag,Flodmynningar,Södra Sverige,18.06103714,59.32711449
