VATTENID,MS_CD,EU_CD,VF,NAMN,LOKAL,Ndatum1,DATUM1,Anno,KVALITET,BONETYP,NBONET,NpueBtotal,NpueBAbb,NpueBGäd,NpueBMör,NpueBRöd,Narter,RT90X,RT90Y,S99TM_N,S99TM_E,WGS84_N,WGS84_E
663532-148571,WA61007061,SE663532-148571,Y,Övre Skärsjön,Hela sjön,25,20000803,2000,Stand,Bnord12,40,16.81,16.80,0.02,0.00,,2,6635320,1485710,6633396,530844,59.83709,15.55028
663532-148571,WA61007061,SE663532-148571,Y,Övre Skärsjön,Hela sjön,25,20010723,2001,Stand,Bnord12,40,22.32,22.29,0.04,0.00,,2,6635320,1485710,6633396,530844,59.83709,15.55028
663532-148571,WA61007061,SE663532-148571,Y,Övre Skärsjön,Hela sjön,25,20020717,2002,Stand,Bnord12,40,17.07,17.07,0.00,0.00,,1,6635320,1485710,6633396,530844,59.83709,15.55028
663532-148571,WA61007061,SE663532-148571,Y,Övre Skärsjön,Hela sjön,25,20030810,2003,Stand,Bnord12,40,19.46,19.46,0.00,0.00,,1,6635320,1485710,6633396,530844,59.83709,15.55028
663532-148571,WA61007061,SE663532-148571,Y,Övre Skärsjön,Hela sjön,25,20040808,2004,Stand,Bnord12,40,28.30,28.26,0.04,0.00,,2,6635320,1485710,6633396,530844,59.83709,15.55028
663532-148571,WA61007061,SE663532-148571,Y,Övre Skärsjön,Hela sjön,25,20050719,2005,Stand,Bnord12,40,19.82,19.78,0.04,0.00,,2,6635320,1485710,6633396,530844,59.83709,15.55028
663532-148571,WA61007061,SE663532-148571,Y,Övre Skärsjön,Hela sjön,25,20060804,2006,Stand,Bnord12,40,20.75,20.75,0.00,0.00,,1,6635320,1485710,6633396,530844,59.83709,15.55028
663532-148571,WA61007061,SE663532-148571,Y,Övre Skärsjön,Hela sjön,25,20070730,2007,Stand,Bnord12,40,16.98,16.98,0.00,0.00,,1,6635320,1485710,6633396,530844,59.83709,15.55028
663532-148571,WA61007061,SE663532-148571,Y,Övre Skärsjön,Hela sjön,25,20080727,2008,Stand,Bnord12,40,22.87,22.87,0.00,0.00,,1,6635320,1485710,6633396,530844,59.83709,15.55028
663532-148571,WA61007061,SE663532-148571,Y,Övre Skärsjön,Hela sjön,25,20090728,2009,Stand,Bnord12,40,15.70,15.67,0.00,0.04,,2,6635320,1485710,6633396,530844,59.83709,15.55028
663532-148571,WA61007061,SE663532-148571,Y,Övre Skärsjön,Hela sjön,25,20100809,2010,Stand,Bnord12,40,15.88,15.88,0.00,0.00,,1,6635320,1485710,6633396,530844,59.83709,15.55028
663532-148571,WA61007061,SE663532-148571,Y,Övre Skärsjön,Hela sjön,25,20110804,2011,Stand,Bnord12,40,16.36,16.32,0.04,0.00,,2,6635320,1485710,6633396,530844,59.83709,15.55028
663532-148571,WA61007061,SE663532-148571,Y,Övre Skärsjön,Hela sjön,25,20120808,2012,Stand,Bnord12,40,12.86,12.75,0.11,0.00,,2,6635320,1485710,6633396,530844,59.83709,15.55028
663532-148571,WA61007061,SE663532-148571,Y,Övre Skärsjön,Hela sjön,25,20130726,2013,Stand,Bnord12,40,21.72,21.72,0.00,0.00,,1,6635320,1485710,6633396,530844,59.83709,15.55028
663532-148571,WA61007061,SE663532-148571,Y,Övre Skärsjön,Hela sjön,25,20140728,2014,Stand,Bnord12,40,20.61,20.61,0.00,0.00,,1,6635320,1485710,6633396,530844,59.83709,15.55028
663532-148571,WA61007061,SE663532-148571,Y,Övre Skärsjön,Hela sjön,25,20150807,2015,Stand,Bnord12,40,21.38,21.34,0.00,0.04,,2,6635320,1485710,6633396,530844,59.83709,15.55028
663532-148571,WA61007061,SE663532-148571,Y,Övre Skärsjön,Hela sjön,25,20160815,2016,Stand,Bnord12,40,20.52,20.52,0.00,0.00,,1,6635320,1485710,6633396,530844,59.83709,15.55028
663532-148571,WA61007061,SE663532-148571,Y,Övre Skärsjön,Hela sjön,25,20170814,2017,Stand,Bnord12,40,18.25,18.21,0.04,0.00,,2,6635320,1485710,6633396,530844,59.83709,15.55028
663532-148571,WA61007061,SE663532-148571,Y,Övre Skärsjön,Hela sjön,25,20180813,2018,Stand,Bnord12,40,23.87,23.87,0.00,0.00,,1,6635320,1485710,6633396,530844,59.83709,15.55028
664197-149337,WA79921026,SE664197-149337,Y,Dagarn,Hela sjön,17,19960801,1996,Stand,Bnord12,32,28.49,17.65,0.06,7.70,,6,6641970,1493370,6640136,538420,59.89697,15.68668
664197-149337,WA79921026,SE664197-149337,Y,Dagarn,Hela sjön,17,19970804,1997,Stand,Bnord12,32,28.75,14.86,0.04,7.59,,6,6641970,1493370,6640136,538420,59.89697,15.68668
664197-149337,WA79921026,SE664197-149337,Y,Dagarn,Hela sjön,17,20000717,2000,Stand,Bnord12,32,34.55,14.26,0.12,8.29,,6,6641970,1493370,6640136,538420,59.89697,15.68668
664197-149337,WA79921026,SE664197-149337,Y,Dagarn,Hela sjön,17,20030819,2003,Stand,Bnord12,32,32.80,19.36,0.02,10.00,,6,6641970,1493370,6640136,538420,59.89697,15.68668
664197-149337,WA79921026,SE664197-149337,Y,Dagarn,Hela sjön,17,20060810,2006,Stand,Bnord12,32,44.26,30.69,0.06,9.04,,6,6641970,1493370,6640136,538420,59.89697,15.68668
664197-149337,WA79921026,SE664197-149337,Y,Dagarn,Hela sjön,17,20070806,2007,Stand,Bnord12,32,25.04,15.03,0.06,5.76,,6,6641970,1493370,6640136,538420,59.89697,15.68668
664197-149337,WA79921026,SE664197-149337,Y,Dagarn,Hela sjön,17,20080803,2008,Stand,Bnord12,32,21.92,11.10,0.00,5.87,,5,6641970,1493370,6640136,538420,59.89697,15.68668
664197-149337,WA79921026,SE664197-149337,Y,Dagarn,Hela sjön,17,20090803,2009,Stand,Bnord12,32,23.69,13.19,0.08,4.34,,6,6641970,1493370,6640136,538420,59.89697,15.68668
664197-149337,WA79921026,SE664197-149337,Y,Dagarn,Hela sjön,17,20100816,2010,Stand,Bnord12,32,23.98,16.22,0.00,5.03,,5,6641970,1493370,6640136,538420,59.89697,15.68668
664197-149337,WA79921026,SE664197-149337,Y,Dagarn,Hela sjön,17,20110810,2011,Stand,Bnord12,32,26.29,14.98,0.02,8.20,,6,6641970,1493370,6640136,538420,59.89697,15.68668
664197-149337,WA79921026,SE664197-149337,Y,Dagarn,Hela sjön,17,20120815,2012,Stand,Bnord12,32,28.66,17.63,0.00,7.16,,5,6641970,1493370,6640136,538420,59.89697,15.68668
664197-149337,WA79921026,SE664197-149337,Y,Dagarn,Hela sjön,17,20130802,2013,Stand,Bnord12,32,29.41,19.63,0.07,5.33,,6,6641970,1493370,6640136,538420,59.89697,15.68668
664197-149337,WA79921026,SE664197-149337,Y,Dagarn,Hela sjön,17,20140804,2014,Stand,Bnord12,32,30.50,16.16,0.06,10.48,,6,6641970,1493370,6640136,538420,59.89697,15.68668
664197-149337,WA79921026,SE664197-149337,Y,Dagarn,Hela sjön,17,20150814,2015,Stand,Bnord12,32,36.69,22.17,0.17,11.53,,6,6641970,1493370,6640136,538420,59.89697,15.68668
664197-149337,WA79921026,SE664197-149337,Y,Dagarn,Hela sjön,17,20160822,2016,Stand,Bnord12,32,35.21,22.25,0.28,8.01,,6,6641970,1493370,6640136,538420,59.89697,15.68668
664197-149337,WA79921026,SE664197-149337,Y,Dagarn,Hela sjön,17,20170821,2017,Stand,Bnord12,32,32.57,17.64,0.12,8.73,,6,6641970,1493370,6640136,538420,59.89697,15.68668
664197-149337,WA79921026,SE664197-149337,Y,Dagarn,Hela sjön,17,20180820,2018,Stand,Bnord12,24,30.87,20.87,0.00,6.98,,6,6641970,1493370,6640136,538420,59.89697,15.68668
664620-148590,WA76489320,NW664611-148550,N,Västra Skälsjön,Hela sjön,22,19940722,1994,Stand,Bnord12,16,37.39,36.44,,,0.95,2,6646200,1485900,6644273,530902,59.93475,15.55294
664620-148590,WA76489320,NW664611-148550,N,Västra Skälsjön,Hela sjön,22,19950730,1995,Stand,Bnord12,16,27.19,25.50,,,1.69,2,6646200,1485900,6644273,530902,59.93475,15.55294
664620-148590,WA76489320,NW664611-148550,N,Västra Skälsjön,Hela sjön,22,19960729,1996,Stand,Bnord12,16,21.87,20.34,,,1.53,2,6646200,1485900,6644273,530902,59.93475,15.55294
664620-148590,WA76489320,NW664611-148550,N,Västra Skälsjön,Hela sjön,22,19970731,1997,Stand,Bnord12,16,33.53,31.56,,,1.97,2,6646200,1485900,6644273,530902,59.93475,15.55294
664620-148590,WA76489320,NW664611-148550,N,Västra Skälsjön,Hela sjön,22,19980815,1998,Stand,Bnord12,16,72.23,71.39,,,0.76,3,6646200,1485900,6644273,530902,59.93475,15.55294
664620-148590,WA76489320,NW664611-148550,N,Västra Skälsjön,Hela sjön,22,19990806,1999,Stand,Bnord12,16,70.97,69.64,,,1.26,3,6646200,1485900,6644273,530902,59.93475,15.55294
664620-148590,WA76489320,NW664611-148550,N,Västra Skälsjön,Hela sjön,22,20000807,2000,Stand,Bnord12,16,24.98,23.68,,,0.87,5,6646200,1485900,6644273,530902,59.93475,15.55294
664620-148590,WA76489320,NW664611-148550,N,Västra Skälsjön,Hela sjön,22,20010728,2001,Stand,Bnord12,16,28.60,28.17,,,0.39,3,6646200,1485900,6644273,530902,59.93475,15.55294
664620-148590,WA76489320,NW664611-148550,N,Västra Skälsjön,Hela sjön,22,20020728,2002,Stand,Bnord12,16,12.62,12.19,,,0.39,3,6646200,1485900,6644273,530902,59.93475,15.55294
664620-148590,WA76489320,NW664611-148550,N,Västra Skälsjön,Hela sjön,22,20030817,2003,Stand,Bnord12,16,58.78,57.88,,,0.90,2,6646200,1485900,6644273,530902,59.93475,15.55294
664620-148590,WA76489320,NW664611-148550,N,Västra Skälsjön,Hela sjön,22,20040816,2004,Stand,Bnord12,16,37.71,35.35,,,2.24,3,6646200,1485900,6644273,530902,59.93475,15.55294
664620-148590,WA76489320,NW664611-148550,N,Västra Skälsjön,Hela sjön,22,20050717,2005,Stand,Bnord12,16,25.58,23.93,,,1.53,3,6646200,1485900,6644273,530902,59.93475,15.55294
664620-148590,WA76489320,NW664611-148550,N,Västra Skälsjön,Hela sjön,22,20060723,2006,Stand,Bnord12,16,46.69,45.49,,,1.04,4,6646200,1485900,6644273,530902,59.93475,15.55294
664620-148590,WA76489320,NW664611-148550,N,Västra Skälsjön,Hela sjön,22,20070725,2007,Stand,Bnord12,16,29.40,28.12,,,1.28,2,6646200,1485900,6644273,530902,59.93475,15.55294
664620-148590,WA76489320,NW664611-148550,N,Västra Skälsjön,Hela sjön,22,20080723,2008,Stand,Bnord12,16,20.54,19.04,,,1.45,3,6646200,1485900,6644273,530902,59.93475,15.55294
664620-148590,WA76489320,NW664611-148550,N,Västra Skälsjön,Hela sjön,22,20090724,2009,Stand,Bnord12,16,27.15,25.92,,,1.14,3,6646200,1485900,6644273,530902,59.93475,15.55294
664620-148590,WA76489320,NW664611-148550,N,Västra Skälsjön,Hela sjön,22,20100804,2010,Stand,Bnord12,16,18.17,16.92,,,1.25,2,6646200,1485900,6644273,530902,59.93475,15.55294
664620-148590,WA76489320,NW664611-148550,N,Västra Skälsjön,Hela sjön,22,20110731,2011,Stand,Bnord12,16,19.35,18.33,,,1.02,2,6646200,1485900,6644273,530902,59.93475,15.55294
664620-148590,WA76489320,NW664611-148550,N,Västra Skälsjön,Hela sjön,22,20120806,2012,Stand,Bnord12,16,20.77,19.31,,,1.46,2,6646200,1485900,6644273,530902,59.93475,15.55294
664620-148590,WA76489320,NW664611-148550,N,Västra Skälsjön,Hela sjön,22,20130722,2013,Stand,Bnord12,16,24.25,23.59,,,0.58,3,6646200,1485900,6644273,530902,59.93475,15.55294
664620-148590,WA76489320,NW664611-148550,N,Västra Skälsjön,Hela sjön,22,20150801,2015,Stand,Bnord12,16,26.22,25.64,,,0.55,3,6646200,1485900,6644273,530902,59.93475,15.55294
664620-148590,WA76489320,NW664611-148550,N,Västra Skälsjön,Hela sjön,22,20170806,2017,Stand,Bnord12,16,24.57,23.69,,,0.76,3,6646200,1485900,6644273,530902,59.93475,15.55294
666268-142230,WA70203019,NW666191-142252,N,Skifsen,Hela sjön,12,20070712,2007,Stand,Bnord12,16,32.52,21.58,0.02,10.92,,3,6662680,1422300,6659970,467133,60.07553,14.4094
666268-142230,WA70203019,NW666191-142252,N,Skifsen,Hela sjön,12,20080711,2008,Stand,Bnord12,16,41.50,25.32,0.01,16.17,,3,6662680,1422300,6659970,467133,60.07553,14.4094
666268-142230,WA70203019,NW666191-142252,N,Skifsen,Hela sjön,12,20090712,2009,Stand,Bnord12,16,46.48,25.72,0.00,20.76,,2,6662680,1422300,6659970,467133,60.07553,14.4094
666268-142230,WA70203019,NW666191-142252,N,Skifsen,Hela sjön,12,20100718,2010,Stand,Bnord12,16,34.88,24.03,0.18,10.67,,3,6662680,1422300,6659970,467133,60.07553,14.4094
666268-142230,WA70203019,NW666191-142252,N,Skifsen,Hela sjön,12,20110808,2011,Stand,Bnord12,16,47.06,24.27,0.22,22.57,,3,6662680,1422300,6659970,467133,60.07553,14.4094
666268-142230,WA70203019,NW666191-142252,N,Skifsen,Hela sjön,12,20120813,2012,Stand,Bnord12,16,43.71,16.94,0.00,26.76,,2,6662680,1422300,6659970,467133,60.07553,14.4094
666268-142230,WA70203019,NW666191-142252,N,Skifsen,Hela sjön,12,20130723,2013,Stand,Bnord12,16,42.14,18.59,0.00,23.55,,2,6662680,1422300,6659970,467133,60.07553,14.4094
666268-142230,WA70203019,NW666191-142252,N,Skifsen,Hela sjön,12,20140725,2014,Stand,Bnord12,16,75.58,33.78,0.14,41.66,,3,6662680,1422300,6659970,467133,60.07553,14.4094
666268-142230,WA70203019,NW666191-142252,N,Skifsen,Hela sjön,12,20150727,2015,Stand,Bnord12,16,30.91,13.46,0.01,17.44,,3,6662680,1422300,6659970,467133,60.07553,14.4094
666268-142230,WA70203019,NW666191-142252,N,Skifsen,Hela sjön,12,20160724,2016,Stand,Bnord12,16,105.41,62.07,0.14,43.20,,3,6662680,1422300,6659970,467133,60.07553,14.4094
666268-142230,WA70203019,NW666191-142252,N,Skifsen,Hela sjön,12,20170824,2017,Stand,Bnord12,16,59.95,23.26,0.00,36.69,,2,6662680,1422300,6659970,467133,60.07553,14.4094
666268-142230,WA70203019,NW666191-142252,N,Skifsen,Hela sjön,12,20180824,2018,Stand,Bnord12,16,41.66,14.95,0.00,26.71,,2,6662680,1422300,6659970,467133,60.07553,14.4094
670275-146052,WA89222377,SE670275-146052,Y,Tryssjön,Hela sjön,22,19940715,1994,Stand,Bnord12,16,14.14,0.05,,0.00,,3,6702750,1460520,6700486,504844,60.44061,15.08802
670275-146052,WA89222377,SE670275-146052,Y,Tryssjön,Hela sjön,22,19950711,1995,Stand,Bnord12,16,22.43,0.11,,0.00,,3,6702750,1460520,6700486,504844,60.44061,15.08802
670275-146052,WA89222377,SE670275-146052,Y,Tryssjön,Hela sjön,22,19960721,1996,Stand,Bnord12,16,4.92,0.59,,0.00,,3,6702750,1460520,6700486,504844,60.44061,15.08802
670275-146052,WA89222377,SE670275-146052,Y,Tryssjön,Hela sjön,22,19970825,1997,Stand,Bnord12,16,12.25,8.72,,0.00,,3,6702750,1460520,6700486,504844,60.44061,15.08802
670275-146052,WA89222377,SE670275-146052,Y,Tryssjön,Hela sjön,22,19980802,1998,Stand,Bnord12,16,16.62,14.52,,0.00,,3,6702750,1460520,6700486,504844,60.44061,15.08802
670275-146052,WA89222377,SE670275-146052,Y,Tryssjön,Hela sjön,22,19990720,1999,Stand,Bnord12,16,15.23,14.69,,0.00,,2,6702750,1460520,6700486,504844,60.44061,15.08802
670275-146052,WA89222377,SE670275-146052,Y,Tryssjön,Hela sjön,22,20000814,2000,Stand,Bnord12,16,10.24,9.61,,0.00,,3,6702750,1460520,6700486,504844,60.44061,15.08802
670275-146052,WA89222377,SE670275-146052,Y,Tryssjön,Hela sjön,22,20010808,2001,Stand,Bnord12,16,7.15,6.68,,0.00,,2,6702750,1460520,6700486,504844,60.44061,15.08802
670275-146052,WA89222377,SE670275-146052,Y,Tryssjön,Hela sjön,22,20020811,2002,Stand,Bnord12,16,7.47,7.26,,0.00,,3,6702750,1460520,6700486,504844,60.44061,15.08802
670275-146052,WA89222377,SE670275-146052,Y,Tryssjön,Hela sjön,22,20030803,2003,Stand,Bnord12,16,10.49,9.41,,0.00,,3,6702750,1460520,6700486,504844,60.44061,15.08802
670275-146052,WA89222377,SE670275-146052,Y,Tryssjön,Hela sjön,22,20040722,2004,Stand,Bnord12,16,10.31,8.96,,0.00,,4,6702750,1460520,6700486,504844,60.44061,15.08802
670275-146052,WA89222377,SE670275-146052,Y,Tryssjön,Hela sjön,22,20050805,2005,Stand,Bnord12,16,7.45,7.00,,0.00,,3,6702750,1460520,6700486,504844,60.44061,15.08802
670275-146052,WA89222377,SE670275-146052,Y,Tryssjön,Hela sjön,22,20060810,2006,Stand,Bnord12,16,8.18,7.82,,0.00,,3,6702750,1460520,6700486,504844,60.44061,15.08802
670275-146052,WA89222377,SE670275-146052,Y,Tryssjön,Hela sjön,22,20070712,2007,Stand,Bnord12,16,16.16,15.94,,0.00,,3,6702750,1460520,6700486,504844,60.44061,15.08802
670275-146052,WA89222377,SE670275-146052,Y,Tryssjön,Hela sjön,22,20080711,2008,Stand,Bnord12,16,13.03,12.74,,0.00,,2,6702750,1460520,6700486,504844,60.44061,15.08802
670275-146052,WA89222377,SE670275-146052,Y,Tryssjön,Hela sjön,22,20090806,2009,Stand,Bnord12,16,5.33,4.72,,0.00,,4,6702750,1460520,6700486,504844,60.44061,15.08802
670275-146052,WA89222377,SE670275-146052,Y,Tryssjön,Hela sjön,22,20100722,2010,Stand,Bnord12,16,9.24,8.86,,0.00,,2,6702750,1460520,6700486,504844,60.44061,15.08802
670275-146052,WA89222377,SE670275-146052,Y,Tryssjön,Hela sjön,22,20110811,2011,Stand,Bnord12,16,11.40,11.18,,0.00,,3,6702750,1460520,6700486,504844,60.44061,15.08802
670275-146052,WA89222377,SE670275-146052,Y,Tryssjön,Hela sjön,22,20120810,2012,Stand,Bnord12,16,6.53,6.20,,0.00,,3,6702750,1460520,6700486,504844,60.44061,15.08802
670275-146052,WA89222377,SE670275-146052,Y,Tryssjön,Hela sjön,22,20140813,2014,Stand,Bnord12,16,8.64,8.14,,0.00,,2,6702750,1460520,6700486,504844,60.44061,15.08802
670275-146052,WA89222377,SE670275-146052,Y,Tryssjön,Hela sjön,22,20160808,2016,Stand,Bnord12,16,6.67,6.56,,0.00,,4,6702750,1460520,6700486,504844,60.44061,15.08802
670275-146052,WA89222377,SE670275-146052,Y,Tryssjön,Hela sjön,22,20180802,2018,Stand,Bnord12,16,12.53,12.34,,0.05,,4,6702750,1460520,6700486,504844,60.44061,15.08802
674570-141911,WA24280365,NW674570-141911,N,Rädsjön,Hela sjön,12,20070715,2007,Stand,Bnord12,24,24.59,21.83,,,0.92,4,6745700,1419110,6742906,462929,60.81978,14.31844
674570-141911,WA24280365,NW674570-141911,N,Rädsjön,Hela sjön,12,20080714,2008,Stand,Bnord12,24,18.53,15.90,,,1.17,4,6745700,1419110,6742906,462929,60.81978,14.31844
674570-141911,WA24280365,NW674570-141911,N,Rädsjön,Hela sjön,12,20090802,2009,Stand,Bnord12,24,16.84,13.76,,,1.13,4,6745700,1419110,6742906,462929,60.81978,14.31844
674570-141911,WA24280365,NW674570-141911,N,Rädsjön,Hela sjön,12,20100804,2010,Stand,Bnord12,24,18.09,14.86,,,1.11,4,6745700,1419110,6742906,462929,60.81978,14.31844
674570-141911,WA24280365,NW674570-141911,N,Rädsjön,Hela sjön,12,20110814,2011,Stand,Bnord12,24,28.73,25.22,,,1.22,4,6745700,1419110,6742906,462929,60.81978,14.31844
674570-141911,WA24280365,NW674570-141911,N,Rädsjön,Hela sjön,12,20120806,2012,Stand,Bnord12,24,25.38,23.10,,,1.26,4,6745700,1419110,6742906,462929,60.81978,14.31844
674570-141911,WA24280365,NW674570-141911,N,Rädsjön,Hela sjön,12,20130805,2013,Stand,Bnord12,24,25.03,22.69,,,0.56,4,6745700,1419110,6742906,462929,60.81978,14.31844
674570-141911,WA24280365,NW674570-141911,N,Rädsjön,Hela sjön,12,20140810,2014,Stand,Bnord12,24,25.46,21.58,,,0.99,4,6745700,1419110,6742906,462929,60.81978,14.31844
674570-141911,WA24280365,NW674570-141911,N,Rädsjön,Hela sjön,12,20150723,2015,Stand,Bnord12,24,19.99,15.69,,,1.09,4,6745700,1419110,6742906,462929,60.81978,14.31844
674570-141911,WA24280365,NW674570-141911,N,Rädsjön,Hela sjön,12,20160815,2016,Stand,Bnord12,24,17.05,15.06,,,0.93,4,6745700,1419110,6742906,462929,60.81978,14.31844
674570-141911,WA24280365,NW674570-141911,N,Rädsjön,Hela sjön,12,20170805,2017,Stand,Bnord12,24,17.87,14.94,,,1.70,4,6745700,1419110,6742906,462929,60.81978,14.31844
674570-141911,WA24280365,NW674570-141911,N,Rädsjön,Hela sjön,12,20180728,2018,Stand,Bnord12,24,30.10,26.85,,,1.62,4,6745700,1419110,6742906,462929,60.81978,14.31844
680235-141799,WA63146294,SE680235-141799,Y,Bösjön,Hela sjön,25,19940717,1994,Inven,Bnord12,24,15.00,,,,1.62,4,6802350,1417990,6799511,461112,61.32775,14.27349
680235-141799,WA63146294,SE680235-141799,Y,Bösjön,Hela sjön,25,19950713,1995,Inven,Bnord12,24,11.22,,,,1.50,4,6802350,1417990,6799511,461112,61.32775,14.27349
680235-141799,WA63146294,SE680235-141799,Y,Bösjön,Hela sjön,25,19960724,1996,Inven,Bnord12,24,12.10,,,,1.26,4,6802350,1417990,6799511,461112,61.32775,14.27349
680235-141799,WA63146294,SE680235-141799,Y,Bösjön,Hela sjön,25,19970816,1997,Inven,Bnord12,24,18.43,,,,0.98,3,6802350,1417990,6799511,461112,61.32775,14.27349
680235-141799,WA63146294,SE680235-141799,Y,Bösjön,Hela sjön,25,19980728,1998,Inven,Bnord12,24,13.23,,,,0.45,3,6802350,1417990,6799511,461112,61.32775,14.27349
680235-141799,WA63146294,SE680235-141799,Y,Bösjön,Hela sjön,25,19990715,1999,Inven,Bnord12,24,12.73,,,,0.96,3,6802350,1417990,6799511,461112,61.32775,14.27349
680235-141799,WA63146294,SE680235-141799,Y,Bösjön,Hela sjön,25,20000810,2000,Inven,Bnord12,24,14.12,,,,0.85,4,6802350,1417990,6799511,461112,61.32775,14.27349
680235-141799,WA63146294,SE680235-141799,Y,Bösjön,Hela sjön,25,20010807,2001,Inven,Bnord12,24,10.06,,,,0.24,3,6802350,1417990,6799511,461112,61.32775,14.27349
680235-141799,WA63146294,SE680235-141799,Y,Bösjön,Hela sjön,25,20020806,2002,Inven,Bnord12,24,11.32,,,,0.34,4,6802350,1417990,6799511,461112,61.32775,14.27349
680235-141799,WA63146294,SE680235-141799,Y,Bösjön,Hela sjön,25,20030728,2003,Inven,Bnord12,24,18.51,,,,0.79,4,6802350,1417990,6799511,461112,61.32775,14.27349
680235-141799,WA63146294,SE680235-141799,Y,Bösjön,Hela sjön,25,20040719,2004,Inven,Bnord12,24,12.32,,,,0.83,4,6802350,1417990,6799511,461112,61.32775,14.27349
680235-141799,WA63146294,SE680235-141799,Y,Bösjön,Hela sjön,25,20050802,2005,Inven,Bnord12,24,15.10,,,,1.77,4,6802350,1417990,6799511,461112,61.32775,14.27349
680235-141799,WA63146294,SE680235-141799,Y,Bösjön,Hela sjön,25,20060807,2006,Inven,Bnord12,24,19.34,,,,0.24,4,6802350,1417990,6799511,461112,61.32775,14.27349
680235-141799,WA63146294,SE680235-141799,Y,Bösjön,Hela sjön,25,20070720,2007,Inven,Bnord12,24,13.87,,,,0.34,3,6802350,1417990,6799511,461112,61.32775,14.27349
680235-141799,WA63146294,SE680235-141799,Y,Bösjön,Hela sjön,25,20080718,2008,Inven,Bnord12,24,13.92,,,,0.13,3,6802350,1417990,6799511,461112,61.32775,14.27349
680235-141799,WA63146294,SE680235-141799,Y,Bösjön,Hela sjön,25,20090729,2009,Inven,Bnord12,24,11.38,,,,0.79,3,6802350,1417990,6799511,461112,61.32775,14.27349
680235-141799,WA63146294,SE680235-141799,Y,Bösjön,Hela sjön,25,20100801,2010,Inven,Bnord12,24,10.11,,,,1.26,3,6802350,1417990,6799511,461112,61.32775,14.27349
680235-141799,WA63146294,SE680235-141799,Y,Bösjön,Hela sjön,25,20110719,2011,Inven,Bnord12,24,11.11,,,,0.59,4,6802350,1417990,6799511,461112,61.32775,14.27349
680235-141799,WA63146294,SE680235-141799,Y,Bösjön,Hela sjön,25,20120802,2012,Inven,Bnord12,24,9.28,,,,0.45,3,6802350,1417990,6799511,461112,61.32775,14.27349
680235-141799,WA63146294,SE680235-141799,Y,Bösjön,Hela sjön,25,20130809,2013,Inven,Bnord12,24,7.58,,,,0.37,3,6802350,1417990,6799511,461112,61.32775,14.27349
680235-141799,WA63146294,SE680235-141799,Y,Bösjön,Hela sjön,25,20140807,2014,Inven,Bnord12,24,9.52,,,,0.26,4,6802350,1417990,6799511,461112,61.32775,14.27349
680235-141799,WA63146294,SE680235-141799,Y,Bösjön,Hela sjön,25,20150720,2015,Inven,Bnord12,24,7.63,,,,0.20,4,6802350,1417990,6799511,461112,61.32775,14.27349
680235-141799,WA63146294,SE680235-141799,Y,Bösjön,Hela sjön,25,20160811,2016,Inven,Bnord12,24,8.33,,,,0.20,3,6802350,1417990,6799511,461112,61.32775,14.27349
680235-141799,WA63146294,SE680235-141799,Y,Bösjön,Hela sjön,25,20170801,2017,Inven,Bnord12,24,8.40,,,,0.91,3,6802350,1417990,6799511,461112,61.32775,14.27349
680235-141799,WA63146294,SE680235-141799,Y,Bösjön,Hela sjön,25,20180724,2018,Inven,Bnord12,24,19.35,,,,0.45,4,6802350,1417990,6799511,461112,61.32775,14.27349
683337-133785,WA41997143,SE683337-133785,Y,Övre Särnmanssjön,Hela sjön,20,19940724,1994,Stand,Bnord12,8,0.00,,,,0.00,1,6833370,1337850,6829523,380636,61.58063,12.7516
683337-133785,WA41997143,SE683337-133785,Y,Övre Särnmanssjön,Hela sjön,20,19950716,1995,Stand,Bnord12,8,0.00,,,,0.00,1,6833370,1337850,6829523,380636,61.58063,12.7516
683337-133785,WA41997143,SE683337-133785,Y,Övre Särnmanssjön,Hela sjön,20,19960711,1996,Inven,Bnord12,5,0.00,,,,0.00,1,6833370,1337850,6829523,380636,61.58063,12.7516
683337-133785,WA41997143,SE683337-133785,Y,Övre Särnmanssjön,Hela sjön,20,19970812,1997,Stand,Bnord12,8,0.50,,,,0.50,1,6833370,1337850,6829523,380636,61.58063,12.7516
683337-133785,WA41997143,SE683337-133785,Y,Övre Särnmanssjön,Hela sjön,20,19980807,1998,Stand,Bnord12,8,0.32,,,,0.32,1,6833370,1337850,6829523,380636,61.58063,12.7516
683337-133785,WA41997143,SE683337-133785,Y,Övre Särnmanssjön,Hela sjön,20,19990713,1999,Stand,Bnord12,8,0.25,,,,0.25,1,6833370,1337850,6829523,380636,61.58063,12.7516
683337-133785,WA41997143,SE683337-133785,Y,Övre Särnmanssjön,Hela sjön,20,20000820,2000,Stand,Bnord12,8,0.18,,,,0.18,1,6833370,1337850,6829523,380636,61.58063,12.7516
683337-133785,WA41997143,SE683337-133785,Y,Övre Särnmanssjön,Hela sjön,20,20010804,2001,Stand,Bnord12,8,1.41,,,,1.41,1,6833370,1337850,6829523,380636,61.58063,12.7516
683337-133785,WA41997143,SE683337-133785,Y,Övre Särnmanssjön,Hela sjön,20,20020802,2002,Stand,Bnord12,8,3.64,,,,3.64,1,6833370,1337850,6829523,380636,61.58063,12.7516
